ASCII # appears # times with symbol # --> encode bits string
ASCII 0 appears 0 times with symbol: not printable --> 10011001000011101101110011
ASCII 1 appears 0 times with symbol: not printable --> 10011001000011101101110010
ASCII 2 appears 0 times with symbol: not printable --> 10011001000011101101110001
ASCII 3 appears 0 times with symbol: not printable --> 10011001000011101101110000
ASCII 4 appears 0 times with symbol: not printable --> 10011001000011101101101111
ASCII 5 appears 0 times with symbol: not printable --> 10011001000011101101101110
ASCII 6 appears 0 times with symbol: not printable --> 10011001000011101101101101
ASCII 7 appears 0 times with symbol: not printable --> 10011001000011101101101100
ASCII 8 appears 0 times with symbol: not printable --> 10011001000011101101101011
ASCII 9 appears 0 times with symbol: not printable --> 10011001000011101101101010
ASCII 10 appears 14754 times with symbol: not printable --> 10010
ASCII 11 appears 0 times with symbol: not printable --> 10011001000011101101101001
ASCII 12 appears 0 times with symbol: not printable --> 10011001000011101101101000
ASCII 13 appears 14754 times with symbol: not printable --> 10001
ASCII 14 appears 0 times with symbol: not printable --> 10011001000011101101100111
ASCII 15 appears 0 times with symbol: not printable --> 10011001000011101101100110
ASCII 16 appears 0 times with symbol: not printable --> 10011001000011101101100101
ASCII 17 appears 0 times with symbol: not printable --> 10011001000011101101100100
ASCII 18 appears 0 times with symbol: not printable --> 10011001000011101101100011
ASCII 19 appears 0 times with symbol: not printable --> 10011001000011101101100010
ASCII 20 appears 0 times with symbol: not printable --> 10011001000011101101100001
ASCII 21 appears 0 times with symbol: not printable --> 10011001000011101101100000
ASCII 22 appears 0 times with symbol: not printable --> 10011001000011101101011111
ASCII 23 appears 0 times with symbol: not printable --> 10011001000011101101011110
ASCII 24 appears 0 times with symbol: not printable --> 10011001000011101101011101
ASCII 25 appears 0 times with symbol: not printable --> 10011001000011101101011100
ASCII 26 appears 0 times with symbol: not printable --> 10011001000011101101011011
ASCII 27 appears 0 times with symbol: not printable --> 10011001000011101101011010
ASCII 28 appears 0 times with symbol: not printable --> 10011001000011101101011001
ASCII 29 appears 0 times with symbol: not printable --> 10011001000011101101011000
ASCII 30 appears 0 times with symbol: not printable --> 10011001000011101101010111
ASCII 31 appears 0 times with symbol: not printable --> 10011001000011101101010110
ASCII 32 appears 92771 times with symbol:   --> 000
ASCII 33 appears 234 times with symbol: ! --> 10011001001
ASCII 34 appears 2231 times with symbol: " --> 01101010
ASCII 35 appears 1 times with symbol: # --> 100110010000111010
ASCII 36 appears 0 times with symbol: $ --> 10011001000011101101010101
ASCII 37 appears 0 times with symbol: % --> 10011001000011101101010100
ASCII 38 appears 0 times with symbol: & --> 10011001000011101101010011
ASCII 39 appears 7711 times with symbol: ' --> 100001
ASCII 40 appears 3 times with symbol: ( --> 10011001000011000
ASCII 41 appears 3 times with symbol: ) --> 10011001000001101
ASCII 42 appears 0 times with symbol: * --> 10011001000011101101010010
ASCII 43 appears 0 times with symbol: + --> 10011001000011101101010001
ASCII 44 appears 8476 times with symbol: , --> 011011
ASCII 45 appears 19 times with symbol: - --> 100110010000010
ASCII 46 appears 3269 times with symbol: . --> 1010111
ASCII 47 appears 0 times with symbol: / --> 10011001000011101101010000
ASCII 48 appears 0 times with symbol: 0 --> 10011001000011101101001111
ASCII 49 appears 0 times with symbol: 1 --> 10011001000011101101001110
ASCII 50 appears 0 times with symbol: 2 --> 10011001000011101101001101
ASCII 51 appears 0 times with symbol: 3 --> 10011001000011101101001100
ASCII 52 appears 0 times with symbol: 4 --> 10011001000011101101001011
ASCII 53 appears 0 times with symbol: 5 --> 10011001000011101101001010
ASCII 54 appears 0 times with symbol: 6 --> 10011001000011101101001001
ASCII 55 appears 0 times with symbol: 7 --> 10011001000011101101001000
ASCII 56 appears 0 times with symbol: 8 --> 10011001000011101101000111
ASCII 57 appears 0 times with symbol: 9 --> 10011001000011101101000110
ASCII 58 appears 1120 times with symbol: : --> 001110111
ASCII 59 appears 1623 times with symbol: ; --> 10101101
ASCII 60 appears 0 times with symbol: < --> 10011001000011101101000101
ASCII 61 appears 0 times with symbol: = --> 10011001000011101101000100
ASCII 62 appears 0 times with symbol: > --> 10011001000011101101000011
ASCII 63 appears 282 times with symbol: ? --> 01101011001
ASCII 64 appears 0 times with symbol: @ --> 10011001000011101101000010
ASCII 65 appears 394 times with symbol: A --> 00111001000
ASCII 66 appears 223 times with symbol: B --> 10101100000
ASCII 67 appears 655 times with symbol: C --> 0011100101
ASCII 68 appears 418 times with symbol: D --> 1010110001
ASCII 69 appears 593 times with symbol: E --> 0011101101
ASCII 70 appears 181 times with symbol: F --> 001110110010
ASCII 71 appears 200 times with symbol: G --> 10101100001
ASCII 72 appears 2 times with symbol: H --> 10011001000011100
ASCII 73 appears 551 times with symbol: I --> 0110101101
ASCII 74 appears 0 times with symbol: J --> 10011001000011101101000001
ASCII 75 appears 0 times with symbol: K --> 10011001000011101101000000
ASCII 76 appears 413 times with symbol: L --> 1010110010
ASCII 77 appears 411 times with symbol: M --> 1010110011
ASCII 78 appears 261 times with symbol: N --> 10011000011
ASCII 79 appears 363 times with symbol: O --> 00111001001
ASCII 80 appears 541 times with symbol: P --> 1001100000
ASCII 81 appears 328 times with symbol: Q --> 00111011000
ASCII 82 appears 121 times with symbol: R --> 100110010001
ASCII 83 appears 444 times with symbol: S --> 1001100101
ASCII 84 appears 284 times with symbol: T --> 01101011000
ASCII 85 appears 44 times with symbol: U --> 10011001000000
ASCII 86 appears 271 times with symbol: V --> 10011000010
ASCII 87 appears 0 times with symbol: W --> 10011001000011101100111111
